Date,y,x1,x2
2023-01-01,0.067,4.666551,2.805062
2023-01-02,1.1255,5.602226,1.151548
2023-01-03,1.3879,6.514061,1.130324
2023-01-04,1.1526,6.502893,1.234455
2023-01-05,1.0919,6.270662,1.107589
2023-01-06,1.0414,5.258165,1.427132
2023-01-07,0.2377,5.665567,2.967714
2023-01-08,0.1028,5.611221,3.700585
2023-01-09,0.8578,6.646759,3.252184
2023-01-10,1.094,6.871332,2.318991
2023-01-11,0.8384,6.938876,2.335098
2023-01-12,0.9269,6.974262,1.901943
2023-01-13,0.8848,6.952786,1.929067
2023-01-14,0.53,6.243472,2.392294
2023-01-15,0.2205,5.89289,3.177417
2023-01-16,0.1322,6.96824,4.439456
2023-01-17,0.051,7.282764,5.046549
2023-01-18,0.2161,7.315721,4.381469
2023-01-19,0.3451,7.461619,4.24458
2023-01-20,0.912,7.298889,2.921245
2023-01-21,0.5889,6.501436,3.017021
2023-01-22,0.377,6.107078,3.681725
2023-01-23,0.7192,7.428409,3.624437
2023-01-24,0.8745,7.712627,2.912365
2023-01-25,0.9325,7.657163,2.818273
2023-01-26,0.674,7.712999,3.532236
2023-01-27,0.4567,7.572569,3.930011
2023-01-28,0.4142,6.858378,3.584592
2023-01-29,0.6841,6.35771,2.769737
2023-01-30,1.3537,7.468395,2.218719
2023-01-31,1.2707,7.659822,2.604253
2023-02-01,1.2855,7.567332,2.60202
2023-02-02,1.3846,7.500362,2.061796
2023-02-03,1.3858,7.382722,1.541548
2023-02-04,1.256,6.497006,2.477957
2023-02-05,0.7938,5.924314,3.736934
2023-02-06,1.3498,7.100563,3.088605
2023-02-07,1.3736,7.442234,2.476866
2023-02-08,1.38,7.515734,2.387452
2023-02-09,1.45,7.482609,1.937891
2023-02-10,1.4205,7.444169,2.056547
2023-02-11,1.3176,6.610636,2.258989
2023-02-12,1.3777,6.071653,2.065432
2023-02-13,1.4677,7.171094,2.342755
2023-02-14,1.429,7.384286,2.569111
2023-02-15,1.4507,7.19681,1.760987
2023-02-16,1.4581,7.179768,1.560716
2023-02-17,1.3356,7.058994,2.176421
2023-02-18,1.2856,6.202099,1.740215
2023-02-19,1.2409,5.703303,1.981287
2023-02-20,1.3413,6.704147,1.962149
2023-02-21,1.5143,6.814747,1.32324
2023-02-22,1.4445,6.858544,1.607087
2023-02-23,1.4057,7.009779,2.172125
2023-02-24,1.4808,7.035243,1.668425
2023-02-25,1.431,6.387303,1.726929
2023-02-26,0.8105,5.909288,4.046573
2023-02-27,1.1751,7.164876,4.450827
2023-02-28,1.3268,7.255476,4.110217
2023-03-01,1.4591,7.479821,2.637447
2023-03-02,1.4209,7.434906,2.947449
2023-03-03,1.4256,7.300951,2.690582
2023-03-04,1.3857,6.374745,2.071188
2023-03-05,1.4392,5.87312,1.159266
2023-03-06,1.4777,6.96298,2.179198
2023-03-07,1.2099,7.014177,3.700257
2023-03-08,0.9893,6.825651,4.323934
2023-03-09,0.7359,6.710982,4.482779
2023-03-10,0.4271,6.562258,4.95369
2023-03-11,0.3003,5.780787,4.442104
2023-03-12,0.8062,5.315713,2.613491
2023-03-13,0.3684,6.334073,4.081381
