Sales,Profit,FSales,FProfit
0.461,0.047,NA,NA
0.564,0.056,NA,NA
0.734,0.069,NA,NA
1,0.089,NA,NA
1.2,0.126,NA,NA
1.3,0.145,NA,NA
1.4,0.168,NA,NA
1.7,0.207,NA,NA
1.9,0.241,NA,NA
2.1,0.29,NA,NA
3.2,0.431,NA,NA
3.6,0.477,NA,NA
4.2,0.526,NA,NA
5.3,0.652,NA,NA
6.9,0.871,NA,NA
7.2,0.934,NA,NA
7.5,1,NA,NA
8.3,1,NA,NA
9.5,1.3,NA,NA
11,1.6,NA,NA
12.7,1.8,NA,NA
14.4,2,NA,NA
16.3,2.4,NA,NA
18.1,2.7,NA,NA
21.1,3.1,NA,NA
22.9,3,NA,NA
26.2,3.6,NA,NA
29.1,3.3,NA,NA
34.4,4.4,NA,NA
40.2,5.5,NA,NA
45.9,6.6,NA,NA
50.1,6.6,55.10383,7.644368
51.3,4.8,63.23731,8.80043
54.2,5.3,72.57135,10.13132
59.7,5.8,83.28309,11.66349
63.4,3.8,95.57591,13.42736
69,6,109.6832,15.45799
64.8,-2.8,125.8728,17.7957
65.1,-5,144.452,20.48695
62.7,-8.1,165.7735,23.58521
64.1,3,190.2421,27.15201
71.9,4.2,NA,NA
