Date,Passengers,Flights,Revenue,Capacity
2003-01-01,47938280.0,842827,49097402,74159872
2003-02-01,45412146.0,741610,44863907,65676314
2003-03-01,55001313.0,856120,54341633,75346075
2003-04-01,51378704.0,821265,49836572,70168440
2003-05-01,53763186.0,844662,52576960,70979718
2003-06-01,57621020.0,856576,58411157,73747096
2003-07-01,62001893.0,894576,63838718,78318807
2003-08-01,60193305.0,894497,62888957,78779075
2003-09-01,49038004.0,835821,50390709,72794329
2003-10-01,54865753.0,872580,54927858,75695437
2003-11-01,51905254.0,819659,52150704,72587163
2003-12-01,55116115.0,855970,56629161,76491081
2004-01-01,49070727.0,845530,51630246,76294673
2004-02-01,50248226.0,817440,50728516,73103808
2004-03-01,59952930.0,895125,61243168,80195799
2004-04-01,58917221.0,878354,60133853,78525388
2004-05-01,58798390.0,895946,60738719,80767459
2004-06-01,63364913.0,901172,66781050,81985822
2004-07-01,66797562.0,940939,70913074,85826863
2004-08-01,64367670.0,951311,68576861,86120386
2004-09-01,53068030.0,875835,55891980,77197006
2004-10-01,59797453.0,919950,61149590,81488607
2004-11-01,57165914.0,878360,57680434,78279728
2004-12-01,58681691.0,899701,60704483,82308853
2005-01-01,54136166.0,872141,57189815,80151902
2005-02-01,52574472.0,820306,53585374,74615745
2005-03-01,65803288.0,935395,68083625,84944309
2005-04-01,61297600.0,904552,63221309,82253103
2005-05-01,63899130.0,941186,66410718,85103187
2005-06-01,66847187.0,933236,70932197,85751565
2005-07-01,70263792.0,961902,75327821,89605407
2005-08-01,66529820.0,964102,71715093,88727882
2005-09-01,56534166.0,876747,60156904,80099879
2005-10-01,59611848.0,892282,61984902,81426057
2005-11-01,58410901.0,856725,59881618,78288722
2005-12-01,59196298.0,867307,62529273,82043081
2006-01-01,55288976.0,851600,59124144,80492634
2006-02-01,53055051.0,776504,54840660,72974894
2006-03-01,65507850.0,894057,68788597,84624157
2006-04-01,62865184.0,862927,66486229,82164072
2006-05-01,64142247.0,892727,67768038,84386996
2006-07-01,69178609.0,928415,76017350,89296743
2006-08-01,66147081.0,941286,72416999,89221429
2006-09-01,56139524.0,862487,60645709,80962719
2006-09-01,56139524.0,862487,60645709,80962719
2006-10-01,61370000.0,891323,64503000,83457331
2006-11-01,60025470.0,854346,62082045,79733427
2006-12-01,60456025.0,874036,64540276,83882396
2007-01-01,56876804.0,873558,61274015,83579327
2007-02-01,53845014.0,787368,56358256,75114669
2007-03-01,66891742.0,902740,70864780,86798866
2007-04-01,64630113.0,879700,68235568,84450090
2007-05-01,66528541.0,914511,70373594,87144798
2007-06-01,69447429.0,904960,75344370,87916781
2007-07-01,72153522.0,941191,79282259,92191098
2007-08-01,71087148.0,949167,77743296,92081881
2007-09-01,58973924.0,869349,64235122,83679510
2007-10-01,63940976.0,905715,67831299,86211346
2007-11-01,61660337.0,868871,64764800,83223395
2007-12-01,60591032.0,874306,66192270,86662629
2008-01-01,57459802.0,864080,62915780,85109847
2008-02-01,56809646.0,813081,60032096,80002688
2008-03-01,67470330.0,891960,72835047,88544457
2008-04-01,62972516.0,870504,67427762,85041112
2008-05-01,,891901,71231943,88014616
2008-06-01,67727316.0,888697,74728358,89087301
2008-07-01,70233341.0,921981,78177305,92997950
2008-08-01,67596016.0,898759,75805618,91049571
2008-09-01,54007855.0,788085,59753028,77962230
2008-10-01,59429066.0,819535,63420648,80104304
2008-11-01,53825243.0,767933,57131088,75748306
2008-12-01,57134896.0,785484,62102823,79134193
2009-01-01,51559441.0,776904,56828341,77942808
2009-02-01,49647629.0,721118,52248007,71264906
2009-03-01,60758974.0,817127,64646403,81445969
2009-04-01,59331758.0,795925,63869329,79197800
2009-05-01,59545594.0,812825,64525671,80911862
2009-06-01,63358198.0,826477,70075046,83130851
2009-07-01,67868072.0,865158,75673991,87522254
2009-08-01,64786048.0,851337,73087008,86024512
2009-09-01,54454979.0,767489,60057023,75277306
2009-10-01,58574489.0,784846,62834599,76469591
2009-11-01,54593093.0,753473,57660077,73097634
2009-12-01,56686180.0,769641,61825679,76956918
2010-01-01,52317664.0,761435,58142556,76884080
2010-02-01,48455029.0,682832,51971540,67971333
2010-03-01,61955394.0,809631,66766075,80766370
2010-04-01,59439496.0,788620,63597189,77872690
2010-05-01,61245021.0,809605,67496398,81977639
2010-06-01,64790347.0,821753,73105121,84787121
2010-07-01,68194795.0,858562,77683559,89416858
2010-08-01,66017267.0,854246,75215344,88129624
2010-09-01,57152165.0,779011,64105775,79112164
2010-10-01,61898533.0,799678,67717592,81496108
2010-11-01,57930539.0,765076,61982017,77096223
2010-12-01,58347806.0,768595,64425278,79800532
2011-01-01,53460393.0,749578,60201146,78681007
2011-02-01,49863476.0,687145,54027258,71298667
2011-03-01,63382901.0,826594,68681228,84953737
2011-04-01,60353552.0,788736,66336076,82098097
2011-05-01,63654184.0,811458,70339494,84100975
2011-06-01,66035331.0,826578,74649026,87180439
2011-07-01,69694536.0,860116,79874404,91876583
2011-08-01,66081317.0,839522,75702739,88427467
2011-09-01,57875453.0,768040,65068612,79426318
2011-10-01,61008771.0,786043,66866065,80960473
2011-11-01,58091963.0,743438,62105702,75739421
2011-12-01,58866420.0,769169,65013051,80517810
2012-01-01,54236163.0,745717,60588901,78072706
2012-02-01,52923579.0,711905,57023629,74421328
2012-03-01,64260064.0,801999,70332653,84672810
2012-04-01,61299901.0,775919,67360814,81551361
2012-05-01,63478254.0,795525,70700468,84589741
2012-06-01,66412465.0,807244,75547726,87248539
2012-07-01,68987213.0,833647,79173602,91337965
2012-08-01,67538658.0,827637,77245683,89253052
2012-09-01,57232918.0,740518,64792261,79383668
2012-10-01,60732331.0,757502,66512697,79700942
2012-11-01,58554540.0,731077,62923447,76850301
2012-12-01,58666383.0,738651,65425803,80338186
2013-01-01,55148279.0,730667,61943838,78544812
2013-02-01,52304270.0,670514,57086904,72098209
2013-03-01,64891924.0,783938,71677898,85044451
2013-04-01,60790905.0,762993,67368414,82578227
2013-05-01,64586349.0,792128,72502358,86068406
2013-06-01,66874432.0,792262,77380313,88966376
2013-07-01,69019487.0,828902,80796627,93217210
2013-08-01,67518714.0,822246,78837393,91566659
2013-09-01,58021135.0,745390,66138136,80976841
2013-10-01,61980604.0,772968,68607779,83424583
2013-11-01,57423181.0,719062,62574544,78883064
2013-12-01,62300107.0,731424,69868434,82771309
2014-01-01,55628947.0,693436,63592984,79171671
2014-02-01,52283230.0,640660,57480217,71984116
2014-03-01,66265071.0,772440,73172203,87560258
2014-04-01,63341997.0,747917,70349305,84342083
2014-05-01,66368015.0,768849,74815503,87981183
2014-06-01,68458782.0,778423,79100448,91511206
2014-07-01,71746135.0,815881,83309497,96039732
2014-08-01,69388131.0,800478,80871859,93489252
2014-09-01,59872265.0,727898,68075689,83033652
2014-10-01,64371103.0,757294,70948681,85656790
2014-11-01,59627577.0,713691,64877072,81271498
2014-12-01,63652300.0,737455,71436095,86445681
2015-01-01,57664576.0,704627,65635591,83005579
2015-02-01,54050800.0,632620,59486447,74184348
2015-03-01,68081743.0,756818,75436197,89931770
2015-04-01,65817267.0,740629,72842466,88313797
2015-05-01,68819792.0,761713,77745782,92458022
2015-06-01,71163523.0,771398,82442822,95395918
2015-07-01,75523798.0,811289,88004608,100673122
2015-08-01,72751388.0,799989,84975596,98295526
2015-09-01,63645463.0,720759,72262177,87022387
2015-10-01,68631650.0,751372,75860840,89226582
2015-11-01,64482982.0,714668,69789747,84646398
2015-12-01,66281141.0,730730,74551779,89952725
2016-01-01,60694064.0,707237,69005186,86004190
2016-02-01,58388033.0,678081,64317478,81665748
2016-03-01,70439149.0,771996,78426341,93844807
2016-04-01,67130585.0,746635,74895985,91332760
2016-05-01,71410595.0,775065,80549240,96090546
2016-06-01,74406863.0,788704,86320472,99630870
2016-07-01,76786290.0,809770,90429208,104164959
2016-08-01,73349201.0,806894,85944849,101606340
2016-09-01,66386921.0,735933,75141211,90213136
2016-10-01,69454651.0,751607,77095632,91941286
2016-11-01,66528254.0,719350,72086104,86737237
2016-12-01,67914017.0,734434,76813919,92816388
2017-01-01,62560565.0,716411,71304592,89795289
2017-02-01,58320914.0,655855,64146810,81222166
2017-03-01,72897888.0,770634,80704768,96600605
2017-04-01,70196372.0,745517,79360403,94618593
2017-05-01,73621464.0,779642,83416119,99290430
2017-06-01,76957359.0,795324,89548749,103568236
2017-07-01,79764473.0,820949,93993807,108487314
2017-08-01,77047521.0,810895,90322912,105638582
2017-09-01,64870758.0,712042,74539144,91268280
2017-10-01,72655345.0,756360,80518965,96307015
2017-11-01,69590146.0,719555,75564688,90184775
2017-12-01,70286866.0,738657,79528602,96168244
2018-01-01,64389725.0,723111,73265996,92947344
2018-02-01,61674791.0,663958,68127042,85051909
2018-03-01,76247058.0,773066,85500726,100567909
2018-04-01,73592486.0,767348,82447659,99412671
2018-05-01,77260205.0,797342,87937012,104444022
